ItemDescription,Condition
"Device only, no charger or SIM included. Device is tested and inspected by in-house technician. Device ESN verified clear and ready for new user! Item may show signs of typical wear such as minor scuffs, scratches, and dings. No major wear or damage. 30-day warranty!",3
"Apple iPhone SE A1662 - (AT&T UNLOCKED) - Grey - GOOD - 16GB - 14 DAY RETURN - Ships Fast
 
 Phone is clean ESN and works on all GSM networks and tested to work on AT&T and T-Mobile.This item is inspected by our expert technicians and it is fully functional. Pictures on the listing are for actual device you will receive.What is included: Phone ONLY.What is NOT included: SD Card, SIM Card, Ear Phones, Owner's Manual & Original Box.Return Policy â€“ All of our sales comes with 14 days return policy from date of package delivery. If item is delivered defective, please contact us as soon as you know. Most times we have replacement unit available in stock, however we also allow to return for refund. All returns where mentioned issue is not validated, or buyer no longer needed the item, a restocking fees of 10% will apply. Our goal is 100% customer satisfaction & we love your positive feedback! Please contact us for any questions.
 
 Damage Description
 
 NEAR MINT Condition. Signs of wear include very light and minor scratches on screen and back. Bezel looks good. (please look pictures closely).
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
"HOT PRODUCT | QUALITY | 100%% | 32 GB SPRINT W/ FAST SHIPPING
 
 Beautiful iPhone 6 near mint condition!Phone has been fully checked and ready for purchase! Great price Going soon!Amazing price and a quality device! Fast shipping! All phones have been checked with carrier, all iCloud is unlocked. If this doesnâ€™t exceed your expectations after purchase, we can always negotiate about a return/refund!
 If you didnâ€™t find this to your liking, look at my profile for something different possibly!
 And if your looking for anything else please leave me a comment for assistance!
 
 Damage Description
 
 None 
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
"Good Condition. Phone Is Beautiful edges well approximated, no separations. No Cracks IMEI,s are 7silver32gb359461086956670, 7+ silver 32GB 359470085775635,8+ Silver 64 GB; 352979094210548, 356116092969090, 356708084084738, 356117090652381, 352981095444357, 356111090515763.8+space Gray 64 GB 356710087787465, 352981099769833, 353011091522904, 353013098228808, 352980091533031, 356717089834807.Go ahead and Google them to get to know your soon to be phone With 64 GB",3
"?30 day money back guaranteed!? GOOD condition,??tested, ? fully functional and ? unlocked.
 
 Device in GOOD condition, inside and out. Charger included, battery is at 90% with peak performance. All tests proved this device to be fully functional. Phone works for any GSM carrier.
 
 Damage Description
 
 light wear on back
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
Used iPhone -SOLD AS IS FOR SALVAGE/PARTS. There are some scratches and wear on the screen and housings. (see pics) Defects are listed below:,0
No cracks perfectly fine minor scratches,3
"New phone. Replacement phone from Apple. Apple service warranty till Oct 12th, 2019
 
 This is a brand new replacement phone from Apple, still with plastic protector on it. Apple manufacturer's warranty expires in August, 2019. However, there's an extended Apple service warranty attached to the phone expiring around Oct 12th. 
 Charger and Lightning cable are included. No headphones. 
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
Good overall condition. Has small crack on bottom left screen (does not affect the screen).,2
"Good Condition iPhone 6s 64GB Space Gray Unlocked 30 Day Warranty Trusted Seller 
 Apple ios: 12.1Apple warranty: ExpiredBattery health percentage: 82%Whatâ€™s included: iPhone & Lightning to USB Cable 
 This device has been rigorously tested for every single functionality based on our 24-Point inspection.
 Shipping: 
 Ships next business day VIA USPS First Class Mail w/Signature confirmation (1-5 business days)
 Who we are:OCBuyBack is a cell phone buyback company based in Brea California. We buy and sell high quality electronics. Let us earn your business. Thanks for looking!
 OCBuyBack Warranty:-Returns can be made within 30 days from delivery date on defective items-Device must be in the same condition as it was received.-A prepaid return shipping label will be provided-We reserve the right to charge a 20% restocking fee for buyers remorse returns-We reserve the right to charge a 20% restocking fee for abusing the return process; stating there is a problem that cannot be found by our technicians upon reviewing the returned product.
 
 Damage description
 In good condition. Front screen and back cover has a few light scratches. Back cover also has a few dark marks near the bottom and light discoloration near apple logo. Screen has a small LCD spot as shown in photos.",2
"Phone turns on, Phone charges, screen is in good condition, body, housing, and frame are in good condition, iCloud is locked",3
Pristine Condition.Not a scratch or blemish on this phone.,4
"GOOD TO GREAT (few signs of any normal wear and tear or better...view photos).We have tested this phone thoroughly, and everything is fine with it besides the following:This phone gets a weak WiFi signal. You have to stand within 10 feet or so of a WiFi hotspot to get a signal. It works fine if you're that close, though. You can stand further away for 5G networks. I'm guessing there's a problem with the WiFi antenna, but I can't say for sure as I haven't taken the phone apart.",3
Mint cosmetic condition. Bad IMEI. Otherwise fully functional. See photos for close ups...,0
VERY GOOD Cosmetic Condition,3
"Iâ€™m selling a Rose Gold 128GB(whoa thatâ€™s a lotta storage!). Like all my phones I sell it has a clean ICloud and Clean IMEI and itâ€™s ready for activation whether prepaid or post paid. It does have a small crack on the top right corner but I can recommend where you can get it fixed for cheap. Just pop in your at&t sim and your good to go. Itâ€™s never been unlocked or jail broken and itâ€™s thru AT&T. Serious buyers only. NO charger, box, or case included",2
"Iphone 6 Plus in used but excellent condition.Comes with box, papers, original headphones, original charger, charging wire and flip case.Phone is in near mint condition, as pictured.Screen is clean and clear.Headphones are also in mint shape.Clean IMEI and Apple ID.",4
Touch disease. Touchscreen does not respond to touch. Clean ESN and no iCloud account attached to it.,0
FUNCTIONAL - SHOWS SIGNS OF USE - NO ICLOUD LOCK - BAD TOUCH ID - LOCKED TO AT&T: 354388069587278 - ANY UNLOCKING IS BUYERS RESPONSIBILITY - SELLER WILL NOT HELP IN ANYWAY - COMES WITH AFTERMARKET USB CHARGER AND EARBUDS - WILL BE SHIPPED PRIORITY MAIL - PLEASE ASK ANY QUESTIONS YOU MIGHT HAVE BEFORE PURCHASING,1
"Apple Warranty until 5 Oct 2019
 Apple Warranty until 5 Oct 2019fully-functioning USA phonelight scratches only nothing elseUnlocked for use with any network carrier in the world. original box and original accessoriesClean IMEIclear iCloud
 
 Damage description
 minor scratches only can seen under light",3
This is a used good condition device which shows a sign of normal use with Scratches and maybe Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.No Icloud account linked to the device.,3
Never used.??In Excellent Condition with Full Accessories??1 Year Warranty.,4
* ICLOUD-CRACKED LCD * SOLD AS-IS * FOR PARTS * NO RETURN *,0
Overall good condition.(See Below For Product Details.),2
"Near Mint Fast Response and Fast Shipping.
 The phone is in great condition, it would probably be mint if it weren't for some light etching on the frame from dust getting in to my case.No scratches on the screen, it has had a tempered glass screen protector on it since day one.The phone will come with the box, all accessories that came in the box, and 2 clear cases.The warranty is until September 20th 2019.Any questions feel free to ask.
 
 Damage description
 
 Slight etching on the frame.",3
"AWESOME bundle w/ new case & more | 30 day $ back guarantee 
 
 [PREMIUM PRE-OWNED] iOS 12 brings optimized performance for older generation iPhones, so this has lots of life left! iOS battery health reports at 87%. This is a Verizon phone that can also be used with any sim card from any carrier worldwide.
 [INCLUDED] Tempered glass screen protector applied, lighting cable, and a new dual layer case in retail packaging.
 [SHIPPING] USPS first class (3-5 day) shipping within 24 hrs (M-F). SHIPPING ADDRESSES CANNOT BE CHANGED AFTER PAYMENT FOR ANY REASON. PLEASE ENSURE YOUR SHIPPING ADDRESS IS CORRECT IN PAYPAL PRIOR TO PURCHASE.
 [MONEY BACK GUARANTEE] If you experience any issues with your device within the first 30 days you are covered! Leave a comment via the sale page and we will quickly work out a resolution. Returns are easy! A prepaid shipping label will be provided in the event a return/refund is necessary.
 
 Damage Description
 
 There is some scratching underneath the tempered glass screen protector. Frame shows light wear. See pictures. 
 
 
 
 All devices must be fully functional and meet our criteria for sale.",2
"iPhone 5 Unlocked, White, 16GB
 iPhone 5 with original box; packing and manual included.
 
 Damage description
 * Dents on edges as shown in pictures.",2
"IPhone XR 128GB black
 
 I have a black XR I don't use anymore. It's in great shape and still has a tempered glass on it, I'm just a small-screen person and it's more than I need. If it were 6S sized it'd be perfect. Battery is great, never had issues with it. Used it as my daily driver about 4 months before I went back to my old phone. 
 Note: I will ship to Canada! Had no issues last time I did, so Canadians welcome to buy. 
 
 Damage Description
 
 Only damage are some tiny chips in the black paint around the camera (pictured in item photos.)
 
 
 
 All devices must be fully functional and meet our criteria for sale.",2
"APPLE IPHONE 7 128GB ROSE GOLD UNLOCKED GOOD CONDITION 30 DAY WARRANTY FAST SHIPPING 
 Devices come with a compatible generic charger. (No warranty on chargers)
 Based off our experience, We pride ourselves with the quality of devices that we sell, As well for the service we provide Pre/Post sale.We Test each device to confirm that it is FULLY Functional, We offer 30 days ofwarranty for Any functionalityissues that may occur, We can accept a return for a refund or replacement. For a quality device Choose Qualitycells!
 
 Damage description
 CONDITION-GOOD.100% Fully function tested using â€œPhonecheckâ€ which runs a 50 Point test. We aim for 8/10 overall condition on these units. May have signs of use such as scratches, Nicks, Scuff Etc.Device may have light scratches on the screen. Please see pictures above for detailed signs.Device is GSM Unlocked , Meaning it will work with all gsm carriers worldwide. CDMA/GSM Unlocked devices will work with both CDMA And GSM Carriers worldwide.",2
"Gently Used - Tested Working and fully functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be used Worldwide on ANY GSM NETWORK.",3
"Gently Used - Tested Working and fully functional. Unit will have some scuffs, dents and scratches. Units are graded 8 / 10 in Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network.",3
Damaged. (Read Description),1
"Unlocked - Excellent condition
 Phone only. No accessories. Tested 100% working. 
 
 Damage description
 
 Some scratches",3
Cracked screen but works great,2
"Sprint Only (Still has AppleCare warranty) (Original Box)
 Store Only (This phone must be activated in a Sprint Retail Store Only)
 Original Box & Accessories included - charger and lighting cable
 Guaranteed clean ESN(Still has AppleCare warranty)
 Factory reset and ready to setup new account
 Very Important;This phone must be activated in a Sprint Retail Store Only.
 This phone cannot be activated on a MVNO network such as - Boost Mobile, Virgin Mobile, Ting, Republic Wireless, Freedom Pop, etc.
 Fast ShippingWe will ship your item same day. All orders received before 3:00pm Eastern Standart time will be shipped same day. All orders received after 3:00pm will be shipped next business day.
 
 Damage description
 Excellent Condition OVER ALL, Like New, Front glass just has a few very light micro scratch.
 
 Only seen when screen is off. Back glass and sides are LIKE NEW. Edges are also excellent.",4
Good condition / No cracked / Some little scratches / Look all pictures,3
"iPhone 5S *** SHIPS FAST 
 
 iPhone 5S Unlocked for any carrier. Will come with phone and box only via USPS with tracking.
 
 Damage Description
 
 Some scuffing and fading 
 
 
 
 All devices must be fully functional and meet our criteria for sale.",2
This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.,2
"*New In Box with Apple Warranty and FREE BONUS*
 Here I have a brand new Apple iPhone SE with 32gb of memory!
 The phone has never been used or activated, it is completely new in it's box and all accessories
 It comes with a one year Apple repairs and service coverage warranty from the day you activate it!!
 As a free bonus we will throw in a new tempered glass screen protector :)
 Act fast because it is priced to sell
 Thanks so much!",5
"Apple Iphone X 64 GB Unlocked
 
 * Color : Silver* Unlocked* Storage : 64 GB* Good condition* Come with retail box and Accessories * 30 days warranty 
 
 Damage Description
 
 None
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
The phone is fully functional and is a Pre-Owned device. Physical condition: Minor scuffs on frame. Some micro scratches may appear on screen due to pocket wear.,2
Fair condition with scratches on the rims,2
"NO RETURNS - SOLD AS IS DUE TO BAD ESN
 Excellent condition! Screen has film protector. Light signs of use on other surfaces. Includes Phone, Lightening to USB Cord, AC Adapter, Earbuds, Apple Stickers, and Original Box",0
"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or dents but will not have any cracks or other severe damage.We most often use stock photos. If we have actual photos we will use them.The item has also been cleaned and is fully functional.",3
16GB factory unlocked great condition clean IMEI number! No damage. It can use here and outside of the United States. Fully tested!,3
Excellent Working Condition - Fully Tested Works Great! There are No Cracks or Scratches on LCD No Bricked Firmware No Damage to the iphone. Some minor scuff marks and scratches on edge of phone body/case (see pictures). Please review the pictures before bidding. Current firmware is iOS 12.1.2. This phone is UNLOCKED for any GSM-CDMA-HSPA-EVDO network without any contracts and/or free from iCloud/FMI account issues.,4
excellent condition & brand new screen & brand new housing,4
"Apple iPhone 7 Plus Black Verizon 128GB
 Color - BlackCarrier - VerizoniCloud - UnlockedGSM - Unlocked128GBGood Condition
 Included OEM Apple Charger/Apple Sync CableBattery Health - 100%
 Compatible with all CDMA carriers worldwideIncludes:CDMA carriers (Verizon, Boost, Sprint)Can NOT activate with AT&T, T-Mobile, Straight Talk, Metro PCS, Cricket, etc100% FREE SHIPPING 1. All items are shipped within 2 business day via USPS Priority!2. Any transaction over $750, will require signature and/or ID confirmation3. No international shipping!4. Any damage or alteration of device will result in voided warranty/return
 
 Damage description
 barely mint condition but can see few smallest scratch on back cover.",3
Like new -- used in case and low actual usage.,3
"IPHONE 7 128GB-ROSE GOLD FOR VERIZON A1660-GOOD CONDITION-FREE SHIPPING
 Including USB Wall adapter ( Charger), USB Cable included. Comes in Original box without headphones. This unit has been thoroughly inspected and tested by our in-house, trained technicians. 
 As a result of the technicians' professional training and detailed care, the unit has been returned to its original factory specifications. You can expect a fully functional unit tested and approved by our professional techs and this phone may have been Refurbished.
 This device is in **Good** condition. These pictures are of the **EXACT** device you will be receiving.
 **30 Days-Warranty*****1-3 Day Expedite Same-Day Shipping if order placed before 3:00 PM Monday-Friday******We DO NOT provide the IMIE/MEID prior to the purchase.***Clean IMIE/MEID******ALL PRICES ARE FIXED***
 
 
 Damage description
 Good Condition- The device has significantly noticeable signs of wear that are beyond everyday use. 
 
 The unit may contain multiple moderate dents/nicks/scuffs/scratches.
 
 
 
 
 
 We perform 45 Points Functional Test on all our devices and We use a comprehensive grading scale to ensure that our clients know the precise condition of the phone that they are purchasing.
 
 
 
 *Clear of iCloud
 
 *Headphone Jack
 
 *Charging Port
 
 *Clean ESN and Ready to Activate
 
 *Proximity Sensor
 
 *Test Call (Antenna)
 
 *Frame and Glass Condition
 
 *Flashlight
 
 *Accelerometer
 
 *Fingerprint Sensor
 
 *Microphone
 
 *Siri
 
 *Sleep/Power Button
 
 *Loudspeaker
 
 *Wi-Fi
 
 *Home Button
 
 *Digitizer Touch Functionality
 
 *Bluetooth
 
 *Volume Buttons
 
 *Front Camera
 
 *LCD Brightness
 
 *Vibrate Functionality
 
 *Back Camera
 
 *SIM Card Connectivity
 
 * Good BP 89%",2
"Gently Used - Tested Working and fully functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be used Worldwide on ANY GSM NETWORK.",3
"The phone is in Very good condition, there are some scratches on the back and scratches on the front glass from regular use, one scratch is visible from the top to the bottom on the front of the glass, but they are not Extremely deep scratches, i was unable to capture the scratches in a picture, so they are not very bad. The phone is for parts or repair only, it is unable to be used on any cellular network as it has a BAD ESN, the apple account has been removed from the phone and it is ready for use as an iPod only or for repair parts. Do not buy this phone if you intend to use it for cellular service, IT WILL NOT WORK. The phone is locked to AT&T's network. Your purchase is for the phone only, there is no box, no manual, no charge cable, no accessories included. Please look carefully at the pictures, what you see is what you'll get.",2
unlocked to any phone company . iCloud unlocked works fine nothing on phone is broken I DO NOT SHIP must come to me,3
Please read the description below for exact details about the issues with this device. The device has the following issues: Screen Separation,1
"90% ??APPLE WARRANTY thru July 2019? UNLOCKED -GSM/CDMA ? 64GB ?Accessories Optional
 
 Risk Free - Under Apple Warranty
 Screen: 8/10 - ExcellentBody Scratches/Blemishes: 8/10 - looks greatBattery Health: 90% ?
 Apple Warranty:Repairs and Service Coverage: ActiveYour product is covered for eligible hardware repairs and service under Appleâ€™s Limited Warranty.Estimated Expiration Date: July 23, 2019
 **This is the actual phone you will be getting** . Please note the phone is used.
 Accessories Optional ($10):1x Lightning cable ($19 value)1x USB Power Adapter ($19 value)
 The phone has been tested to ensure it is 100% fully functional and works perfectly. ESN checked and is clean and ready for activation. No SIM card included.
 The phone is in Excellent condition (see pictures). The phone will be shipped out via FedEX, UPS, or USPS and a tracking number will be provided.
 For any questions, please message us through Swappa.
 
 Damage Description
 
 Refer to pictures.
 Repairs and Service Coverage: ActiveYour product is covered for eligible hardware repairs and service under Appleâ€™s Limited Warranty.Estimated Expiration Date: July 23, 2019
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
"This phone is 100% authentic and fully functional, the cosmetic condition is very good light scratches and wear from normal usage (see photos for condition concerns). the phone has been factory reset and icloud deactivated so its ready for a new user. the imei is clean so the phone can be activated on the verizon network. the listing includes the phone only and no other accessories",3
Very small crack on the edge of the screen and extremely small brighter spot on the screen that can be seen on a white background. Functions 100% with a clean ESN and no iCloud account attached to it.,2
"iPhone Xs Max - 256gb - Gold
 
 This iPhone is in near mint condition. If you have any questions, feel free to leave a comment on the listing.
 
 Damage Description
 
 Little to no signs of wear at all. See photos for battery health. Phone almost in mint condition!
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
Excellent and Fully functional Iphone. Has a cracked back and some dings on the sides of the phone as you can see clearly in the photos.,2
"Apple IPhone 8 Plus 64gb silver Factory Unlocked w/ case & charger Nr Mint, Warr til 9/29/19
 It can be used on any carrier worldwide.It comes with a plastic case w/ pop socket and charger.It has a tempered glass screen protector already installed.The phone is in near mint condition (it has one TINY scratch on the frame at the bottom and a few light ones on the back).It still has the original Apple warranty until September 29, 2019.The battery health is 97%.Ios 12.1.4
 
 Damage description
 None",3
"This item is in Good cosmetic condition. There are light scratches throughout the phone consistent with prior use and ownership. The display has varying degrees of scratches, some of which are visible when the display is on. The back of the phone has some wear in the form of scratching and some scuffs. Please see images. This item has been tested and is NOT working properly due to a bad touch screen.",1
"Phone powers on with a good LCD, touchscreen and charging port however when we inserted a SIM card, it would not call out.Also the LCD is lifting a bit on the right (photo #4).Sold as is, for parts or repair only, no returns. This auction is for the phone only -- the charger and SIM card are not included.There is no iCloud account on the phone.",0
"BRAND NEW SEALED FACTORY UNLOCKED IPHONE SE (64GB) SPACE GRAY 
 
 BRAND NEW SEALED FACTORY UNLOCKED IPHONE SE 64GB.(SPACE GRAY). WILL WORK WITH ANY OTHER CARRIER AROUND THE WORLD. COMES WITH EVERYTHING SEALED IN BOX.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",5
"Fully tested and working. The screen has a lot of noticeable scratches. The scratches are harder to see when the screen is lit up, especially if the brightness is higher on the phone (see photos 2-3). The bezel has no wear. The back has no wear. The phone is Bad ESN for Sprint and cannot be activated on any carrier. CHARGER, EARBUDS AND BOX ARE NOT INCLUDED. PHONE ONLY.",2
"Sprint iPhone 8 64gb gold
 Senior Citizen owned for 12 months then upgraded. No scratches, scuffs, signs of wear.",3
"Product shows signs of heavy wear and frequent use.Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Heavy Dead Pixels/Bright Spots/Screen Burn, Housing Wear - Heavy, Display Lens Wear - Heavy. This item has been professionally tested and is guaranteed to be completely functional.",2
"*PLEASE READ* Apple id locked, and the ESN is unknown and subject to change, so it's UNTESTED and being sold for parts as is for parts. Otherwise in good condition with minor scuffs and scratches. iPhone only, no charger.",0
"The touch screen does not work. It is pitch black and needs to be changed. The rest of the phone works perfectly. If you are able to fix the screen, you would have in your hands a fully funtioning iPhone x",0
Used. AS SHOWN. Works great. Looks good. iPhone only. Please carefully review the pictures before you buy. The pictures show original product.,3
