ModelName,Carrier,Storage,Color,Value,ItemDescription
iPhone 6s,unlocked,32 GB,space gray,104.99,"This IPhone 6s has a CLEAN ESN and is unlocked meaning it can be used on CDMA+GSM carriers like Verizon, AT&T, T-Mobile, and Sprint networks, or overseas. The front display has a hairline CRACK near the top right corner, and the LCD also has black lines and spots. The microphone does not work, so it's possible the phone might be water damaged. The loudspeaker is very quiet. The bottom left corner also has a tiny crack/scratch that is somewhat visible. The front display has multiple smaller scratches across the screen that are very visible. The front display is still touch sensitive.The sides of phone has several nicks and marks that are very visible on each of the four corners.The back of phone has a couple of smaller scratches and marks that are very visible. COMES WITH PHONE ONLY. Box and accessories are NOT included."
iPhone 6s Plus,unlocked,128 GB,space gray,219.99,Phones will have an excellent condition housing and screen. Near Mint Condition.  Please refer to auction pictures which are of the actual phone for this listing.
iPhone 6s Plus,unlocked,128 GB,space gray,199.99,Phone is in great condition. The screen is new and the housing is in good condition and shows wear.  We grade it an 8/10 cosmetic condition. Please refer to auction pictures which are of the actual phone for this listing.
iPhone 8,sprint,64 GB,gold,427.77,"New other: customer return (changed mind) no issues, 100% functional, no scratches, in new condition, comes in retail box -Includes: iPhone 8 64GB, EarPods with Lightning Connector, Lightning to Headphone Jack Adapter, Lightning to USB Cable, USB Power Adapter, Paper inserts and Ejection pin.--This phone is currently for Sprint only - for those other compatible networks, it must be unlocked first. Please check Sprint policy for unlocking eligibility/requirements.--GUARANTEED TO HAVE A CLEAN ESN AND READY FOR ACTIVATION.Thanks for looking."
iPhone 6s,unlocked,16 GB,space gray,100,"Gently Used Cosmetic Conditon - Tested Working and Functional. Unit will have minor scuffs, dents and scratches. Please view Pictures for Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. *We Record The Serial Number of Every Unit We Ship Out*"
iPhone 7,verizon,128 GB,black,199.99,The item has some scratches on the screen and around the body (see pics). Comes with a charger. Fully tested.
iPhone XR,unlocked,64 GB,black,539,The phone is in generally good condition with a good ESN.  It does have some minor scuffs on the side aluminum which is shown in the pictures.  It also has a very small crack above the camera lens on the phone backing.  This has no impact whatsoever on the camera or the photo quality.  The screen is also in very good condition and the phone is fully functional.
iPhone 7 Plus,at&t,128 GB,black,229.99,This Apple iPhone 7 Plus is in good used condition. WiFi and Bluetooth do not work. Everything else works perfectly. It will work with any AT&T SIM card. The iCloud status is clear and ready for new activation.
iPhone 7,verizon,256 GB,black,281.78,Very good condition! Verizon+GSM Unlocked! Free Fast Delivery! Clean IMEI! See real pictures! Read all details!
iPhone Xs Max,sprint,64 GB,silver,719.99,Please scroll down to read the entire description and see more pictures.
iPhone 6 Plus,sprint,16 GB,space gray,64,"The digitizer does not work on this device and the glass screen is slightly lifted in the top right corner of the phone. Additionally, this device has noticeable and minor scratches on various parts of the glass screen.Please see ad for details. A list of what is tested on the device(s) is provided. Previously used device(s) that may show signs of use such as scratches, scuffs, normal cosmetic wear, etc. Device(s) has a clean IMEI and is data wiped. R2/ready for resale."
iPhone 7,at&t,256 GB,gold,199.95,"Apple iPhone 7 - 256GB - Gold (AT&T) A1778 (GSM) BAD ESN. Screen is scratched but doesn't affect viewability when in use.  We do not verify ESN or Lock status. We sell all phones bad ESN . ATT network. Check the number, please do your research. Email any questions. Thanks"
iPhone 8 Plus,at&t,256 GB,red,400,This Item Has a BAD IMEI. iPhones are in VERY GOOD condition with minor scratches. Devices have been factory restored to manufacturer setting and no passcode or iCloud lock on the devices.
iPhone 8 Plus,unlocked,64 GB,silver,439.99,"Phone is in good condition.  Front glass has several  light scratches, not visible when screen is lit. Back and edges of phone have some light wear and scratches. See photos for more detail."
iPhone 7 Plus,unlocked,32 GB,black,175,Tested and fully functional but has a Bad IMEI and cannot be activated on an Xfinity Mobile account.
iPhone X,t-mobile,64 GB,silver,307,"Used condition, the phone works perfectly just cracked screen which can be easily replaced."
iPhone 6,unlocked,16 GB,gray,88.88,"SCRATCHES ON SCREEN. THE REST OF THE PHONE HAS FEW TO NONE SCRATCHES. NO DENTS, CRACKS OR BENDS."
iPhone 6s Plus,at&t,16 GB,gold,146,"screen has a small crack on bottom left corner(see pic2) other than the crack the rest of the phone is in phenomenal condition. no other cracks, bends or cosmetic issues. new screen protector has been applied."
iPhone XR,t-mobile,64 GB,red,479,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone X,sprint,64 GB,silver,180,"Blocked Apple ID, iCloud Status: Lost Mode. Broken LCD, broken front and rear glass.IMEI: 354847090301603 Status: Reported stolen by SPRINT. For parts or not working, Only for pieces- (NO RETURN)"""
iPhone 6 Plus,verizon,64 GB,silver,113.5,"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or dents but will not have any cracks or other severe damage.  We most often use stock photos. If we have actual photos we will use them.  The item has also been cleaned and is fully functional."
iPhone Xs Max,sprint,64 GB,silver,450,"Apple iPhone XS Max 64GB (A1921) (Sprint) (FINANCED) (no iC lock) (AS IS)This is an iphone XS Max, space gray. It has 64GB of internal storage. It is originally a Sprint phone. It does not have an iC Lock. It is financed and has a bad IMEI/ESN. The IMEI/ESN can be requested after purchase. There may be other damage, signs of use or issues with the devices that are not listed due to devices not being fully inspected. Please view photos before purchasing."
iPhone 6 Plus,unlocked,16 GB,space gray,130,"Gently Used - Tested Working and fully functional. Unit will have some scuffs, dents and scratches. Units are graded 8 / 10 in Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. *We Record The Serial Number of Every Unit We Ship Out*"
iPhone 7 Plus,at&t,32 GB,black,247.5,"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or dents but will not have any cracks or other severe damage.  We most often use stock photos. If we have actual photos we will use them.  The item has also been cleaned and is fully functional."
iPhone 8 Plus,verizon,64 GB,space gray,395,"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or dents but will not have any cracks or other severe damage.  We most often use stock photos. If we have actual photos we will use them.  The item has also been cleaned and is fully functional."
iPhone 6,unlocked,16 GB,silver,87,"Gently Used - Tested Working and fully functional. Unit will have some scuffs, dents and scratches. Units are graded 8 / 10 in Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. *We Record The Serial Number of Every Unit We Ship Out*"
iPhone 6s,unlocked,16 GB,space gray,101,"Gently Used Cosmetic Conditon - Tested Working and Functional. Unit will have minor scuffs, dents and scratches. Please view Pictures for Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. *We Record The Serial Number of Every Unit We Ship Out*"
iPhone 6,unlocked,16 GB,gray,91,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 7 Plus,at&t,32 GB,rose gold,440,"““All product is used. Equipment is NOT refurbished. Each unit comes with 30 day warranty, Pictures are of actual equipment. Items will have scratches, nicks, small dents associated with rental equipment, We will ship 1-2 days after order is placed. We are a rental company based in Glenview, IL. We sell off excess rental equipment when customers are done with it. We stand behind all our product.****All Product is tested and Working******All Product is packed well for Shipping*"
iPhone 5,verizon,16 GB,black,29.99,The phone is being sold for parts or repair because the battery is draining very quickly. Please read the full description.
iPhone 5,at&t,32 GB,white,31.99,The phone is being sold for parts or repair because the power button do not work. Please read the full description.
iPhone 8,at&t,64 GB,red,317,"Excellent condition ,- No dents or scratches,-  Screen protector,- No charger included."
iPhone 6s,unlocked,16 GB,space gray,90,Functionality: This device is in 100% factory working condition and has been freshly restored to the newest firmware. Cosmetics: B Grade Device Only No Accessories.
iPhone Xs Max,at&t,64 GB,gold,500,Phone is in excellent used condition. No signs of scratching or other blemishes. Does NOT include box or any accessories -- PHONE ONLY. BAD ESN. NO ICLOUD OR PASSCODES. IMEI: 357266097960997
iPhone 7,at&t,32 GB,black,107.72,"This device has a few significant scratches on the glass screen as well as minor and noticeable scratches throughout the screen. Please see ad for details. A list of what is tested on the device(s) is provided. Previously used device(s) that may show signs of use such as scratches, scuffs, normal cosmetic wear, etc. Device(s) has a clean ESN and is data wiped."
iPhone 8 Plus,verizon,64 GB,silver,419.97,"This phone is in excellent condition. No visible scratches, cracks or dents. The phone is fully functional and has no issues. A new phone was purchased so this one was no longer needed.Phone comes with original box and all original cords that have not been used.No Returns on this item."
iPhone Xs Max,at&t,64 GB,gold,649.99,"AT&T ONLY, IS FINANCED,  excellent cosmetic condition, we are not liable for unlocking issues for alternate gsm or international gsm use.. PHONE ONLY., NO PASSWORDS, NO ICLOUDS.. NO CHARGER INCLUDED."
iPhone 8 Plus,verizon,64 GB,space gray,379.99,"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or dents but will not have any cracks or other severe damage.  We most often use stock photos. If we have actual photos we will use them.  The item has also been cleaned and is fully functional."
iPhone 7,sprint,32 GB,black,119.99,"The phone has minor signs of wear,  very light scratches that can be seen under light.  Very small dings. Bad esn / bad imei - cannot be activated - know what this means before you buy factory reset no locks accounts or personal information on this phone - icloud free fmi off all original parts everything works. Minor wear light scratches on the back."
iPhone 7 Plus,unlocked,128 GB,black,329.99,"fully functional ,unlocked ,brand new OEM accessories ! original box!"
iPhone 7,unlocked,128 GB,jet black,379,"CONDITION: Apple Certified Pre-owned in Sealed Retail Packaging, Physically in New Cosmetic Condition. Includes full 1 year manufacturer warranty. Comes Complete in box with all accessories listed below: Whats in the box:Apple iPhone 7 128GB Earpods with Lightning Connector, Wall Plug, Lightning USB Cable and Documentation.  Phone is Factory Unlocked and ready to activate on any compatible networks worldwide."
iPhone 5s,verizon,32 GB,gray,46,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Heavy Dead Pixels/Bright Spots/Screen Burn, Housing Wear - Heavy, Display Lens Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 5s,at&t,16 GB,gray,46,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Minor Screen Separation, Display Lens Wear - Heavy, Housing Wear - Moderate, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone X,at&t,256 GB,silver,526.66,"Used iPhone in perfect condition... no issues... brand new headphones, charger and cable included as well as the original box."
iPhone 8,at&t,256 GB,space gray,198,"The product's external housing is severely/heavily damaged. Specific defects include: Display Lens Wear - Shattered, Housing Wear - Heavy, Camera Lens, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone X,at&t,64 GB,space gray,371,"The product's external housing is severely/heavily damaged. Specific defects include: Display Lens Wear - Shattered, Housing Wear - Heavy, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s,"unlocked, t-mobile",64 GB,space gray,84,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Minor Screen Separation, Housing Wear - Heavy, Display Lens Wear - Heavy, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone Xs,unlocked,64 GB,gold,479.99,"Fully tested and working. The screen and back of the phone are cracked, but the phone works like normal. The bezel is in good shape. The phone is unlocked and can be used on any carrier. CHARGER, EARBUDS AND BOX ARE NOT INCLUDED. PHONE ONLY."
iPhone 8,unlocked,256 GB,space gray,100,This phone will not power on and it is also ICLOUD LOCKED. Stickers still on phone - GREAT physical condition. I believe the storage is 256GB however I cannot confirm.
iPhone 7,verizon,32 GB,rose gold,199.95,iPhone is in excellent condition.  It has always had a protective screen cover on it and was owned by an adult.  OtterBox was also kept on it for protection.  OtterBox is included.  Please see pictures.
iPhone 6s Plus,unlocked,16 GB,space gray,159.99,"Phone is in good condition. The screen and the housing are in good condition, showing some wear.  We grade it an 8/10 cosmetic.  Please refer to auction pictures which are of the actual phone for this listing."
iPhone Xs Max,unlocked,64 GB,space gray,950,NEW IN FACTORY PLASTIC - NO CONTRACT NO FINANCE - BOX IS NOT INCLUDED
iPhone 7 Plus,unlocked,128 GB,silver,195,"Phone calls have grayed out speaker button, speaker works for playing music and videos. Phone is unlocked!"
iPhone 6 Plus,verizon,16 GB,gold,119.99,"These devices have minor signs of wear from normal use. There may be some scratches or dings on the device, but nothing major. These devices are guaranteed to be functional and to have a clean ESN ready to activate with the listed carrier."
iPhone 8 Plus,at&t,64 GB,gold,319.95,"Bad ESN for AT&T, WILL NOT ACTIVATE, 64GB, tested and works fine otherwise. Does not include charger."
iPhone 6,unlocked,64 GB,silver,64.99,"Tested and fully functional, The phone is in excellent condition. Package comes with phone ONLY. No accessories or original box included."
iPhone Xs,at&t,64 GB,gold,636,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone Xs Max,at&t,64 GB,gold,729,"Product is in good overall cosmetic condition but shows signs of use.  The housing and display have no major flaws, but some scratches are visible. Display Lens Wear - Light, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s Plus,verizon,16 GB,space gray,163.6,"Product is in good overall cosmetic condition but shows signs of use.  The housing and display have no major flaws, but some scratches are visible. Housing Wear - Moderate, Display Lens Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 7,at&t,32 GB,black,178.5,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Heavy. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6s,unlocked,64 GB,rose gold,90,This device is in overall pretty good cosmetic condition. The screen is cracked in a couple of corners and will probably need to be replaced. The frame and back of the device look amazing! See pictures for more details!
iPhone 5,verizon,32 GB,black,39,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Housing Wear - Heavy, Display Lens Wear - Light, Light iPhone Halo. This item has been professionally tested and is guaranteed to be completely functional."
iPhone Xs Max,at&t,64 GB,gold,720,"Product is in good overall cosmetic condition but shows signs of use.  The housing and display have no major flaws, but some scratches are visible. Display Lens Wear - Light, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone X,sprint,64 GB,space gray,255,"Cracked in the front and back, Missing a couple pieces of glass but the screen still works just fine. (Has BAD ESN under sprint). Has some dings/marks around phone, and on the back."
iPhone 6 Plus,verizon,64 GB,gold,129.99,"These devices have minor signs of wear from normal use. There may be some scratches or dings on the device, but nothing major. These devices are guaranteed to be functional and to have a clean ESN ready to activate with the listed carrier."
iPhone 6 Plus,unlocked,16 GB,space gray,72,"This iPhone has been tested and has a bad backlight. An attempt to replace the screen was made. This is a board level repair. For this reason, we are selling this item as is for parts only.  It will show signs of use on the screen including scratching and/or dings on the sides and back casing. Batteries are tested to hold a good charge but may not have the performance of a new battery. Original packaging is NOT included. Verizon Unlocked - This phone is designed to work with Verizon and GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included."
iPhone SE,at&t,32 GB,space gray,71,"Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or dents but will not have any cracks or other severe damage.  We most often use stock photos. If we have actual photos we will use them.  The item has also been cleaned and is fully functional."
iPhone 6s,verizon,16 GB,space gray,46,"Digitizer works half of the time, Force Touch does not work, and the front mic is not working."
iPhone 6,unlocked,16 GB,gold,89.95,"There are no cracks on the screen. This is a used item that may show normal signs of use such as marks, slight dents, or scratches. The screen is slightly lifted on the left side. The item above has been tested and is functional. Please see the pictures for more details."
iPhone 6 Plus,verizon,128 GB,gold,139.99,"These devices have minor signs of wear from normal use. There may be some scratches or dings on the device, but nothing major. These devices are guaranteed to be functional and to have a clean ESN ready to activate with the listed carrier."
iPhone 5,verizon,16 GB,black,29.99,The phone is being sold for parts or repair because the power button does not work. Please read the full description.
iPhone 6s,verizon,32 GB,space gray,79.95,"Condition Code C - Equipment is used, tested operational, may have major cosmetic flaws not effecting functionality, may have minor screen flaws, missing plastics covers, faceplates, case cracks, etc. that don’t expose direct contact to any circuit boards and/or electrical ports or outlets."
iPhone 6s,verizon,32 GB,space gray,79.95,"Condition Code C - Equipment is used, tested operational, may have major cosmetic flaws not effecting functionality, may have minor screen flaws, missing plastics covers, faceplates, case cracks, etc. that don’t expose direct contact to any circuit boards and/or electrical ports or outlets."
iPhone 6s,verizon,32 GB,space gray,79.95,"Condition Code C - Equipment is used, tested operational, may have major cosmetic flaws not effecting functionality, may have minor screen flaws, missing plastics covers, faceplates, case cracks, etc. that don’t expose direct contact to any circuit boards and/or electrical ports or outlets."
iPhone 6s,verizon,32 GB,space gray,79.95,"Condition Code C - Equipment is used, tested operational, may have major cosmetic flaws not effecting functionality, may have minor screen flaws, missing plastics covers, faceplates, case cracks, etc. that don’t expose direct contact to any circuit boards and/or electrical ports or outlets."
iPhone 6s,verizon,32 GB,space gray,79.95,"Condition Code C - Equipment is used, tested operational, may have major cosmetic flaws not effecting functionality, may have minor screen flaws, missing plastics covers, faceplates, case cracks, etc. that don’t expose direct contact to any circuit boards and/or electrical ports or outlets."
iPhone 6,verizon,16 GB,gold,33,"This is iphone 6 icloud locked. Cracked front screen and no home bottom. for parts only. Don’t know about storage, carrier. Selling as is just for parts."
iPhone 6s,verizon,16 GB,gold,24.5,"SIM Card reader does not work. Please read the description. May have a few scratches, minor dings and small scrapes on the edges, and/or some scuffs on the housing from normal pocket ware."
iPhone 7 Plus,verizon,128 GB,gold,246.5,"This iPhone has been tested and has a bad Camera LDO IC. An attempt to replace the front camera did not work. This is a board level issue. For this reason, we are selling this item as is for parts only. It will show signs of use on the screen including scratching and/or dings on the sides and back casing. Original packaging is NOT included. Verizon Unlocked - This phone is designed to work with Verizon and GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included."
iPhone XR,sprint,64 GB,red,430,"Product is in good overall cosmetic condition but shows signs of use.  The housing and display have no major flaws, but some scratches are visible. Display Lens Wear - Light, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone Xs,unlocked,64 GB,gold,611,"Product shows signs of heavy wear and frequent use.  Cosmetic flaws may include scratches, scuffs, and/or dents, and the display may have clearly visible scratching or scuffing. Display Lens Wear - Heavy, Housing Wear - Light. This item has been professionally tested and is guaranteed to be completely functional."
iPhone 6,unlocked,16 GB,silver,45,COSMETICALLY PHONE IS IN EXCELLENT CONDITION. LIGHT SCRATCHES ON SCREEN. PHONE WILL NOT POWER ON.
iPhone 6,unlocked,16 GB,silver,87,"Gently Used - Tested Working and fully functional. Unit will have some scuffs, dents and scratches. Units are graded 8 / 10 in Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. *We Record The Serial Number of Every Unit We Ship Out*"
iPhone 7 Plus,unlocked,128 GB,jet black,305,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 6,unlocked,16 GB,gray,83.1,"It comes with the screen protector. The screen protector has some minor scratches, but the screen itself is in excellent conditions. There are normal usage scratches."
iPhone X,verizon,64 GB,silver,424.99,"The iphone x is pre-owned being sold as is for parts or repair with bad imei!  Outside of the imei this phone is fully functional in excellent conditoin!  The phone has some minor scuffs and scratches on the casing due to normal wear and tear!  The imei number is 353056098463404.  This listing includes the phone only!  There is no charger, box, paperwork or accessories included in this listing!  Please see all pictures for complete details!  There are no owner markings on this item."
iPhone 7,t-mobile,32 GB,black,183.5,"Excellent condition, no scratches on body or screen. includes test report"
iPhone 4S,verizon,16 GB,black,19.97,"3 of 5. This item is used. The item shows average signs of wear and tear including scuff marks, scratches, nicks, and worn finishes. Please refer to the pictures to get a better idea of the physical condition. The screen has no dead pixels. The battery holds a charge although the current longevity is not as good as original and is not guaranteed. Prospective buyers should keep in mind this item is an older and/or slower model so it does not perform as well compared to newer and/or faster units. It may not be eligible for or compatible with all the latest software updates. The item is sold AS IS with the cited defects. The ESN/IMEI (***********6492) has been verified with Verizon as of 07/18/2019 and is not reported lost or stolen. It is ready for activation to another Verizon account. The new owner may need a compatible Verizon SIM card. This device is locked to Verizon. Jay Brokers does not guarantee the outcome of unlocking attempts or unlocking eligibility."
iPhone 6s,verizon,32 GB,space gray,156.84,Verizon+GSM Unlocked! Clean IMEI! Free Fast Delivery! Used but good condition! Please check actual pictures and read full description below!
iPhone X,unlocked,64 GB,space gray,497.99,"This Apple iPhone X is in used condition with scratches. The front camera does not work. Everything else works perfectly. This phone has a clean ESN with Verizon and a clean iCloud status. It is FACTORY UNLOCKED so it will work with all GSM SIM cards such as AT&T, T-Mobile, and Straight Talk."
iPhone 8 Plus,sprint,64 GB,space gray,192,The phone is in okay condition and is being sold for parts because of a Bad ESN.The phone is cracked front and back. LCD and digitizer still good. Has scratches and scuffs (refer to pictures).The iClouds are turned OFF and the FMI (Find My iPhone) app is OFF.  The phone works well. The listing is for the phone only.
iPhone 8 Plus,sprint,64 GB,red,265,Fully functional. Active Applecare plan. Cracked Glass back. Bad ESN. Please read the description for more details.
iPhone 6,sprint,16 GB,gold,79.95,the phone is in pretty good shape but i thought you'd appreciate a closer look.  the screen is very clear on the flat area and displays beautifully.  there are a couple of edge scratches on the curve of the glass and then a few minor dings on the aluminum edge and back.  i'm adding photos so that you can see what i'm describing.  they're highlighted w/ a yellow circle.
iPhone 4,at&t,8 GB,black,19.99,The phone is fully functional and works great. Please read the full description.
