"Call_Source","Call_Type","Create_Date","Create_Year","Create_Month","EventFirstDispatched","EventFirstArrive","EventFirstEnroute","LastKnownLatitude","LastKnownLongitude","FirstArriveEngine","StartTransport","TransportArrive","Close_Date","Municipality","Beat"
"ANI/ALI","AA","1/1/2018 18:33",2018,1,"1/1/2018 18:33","1/1/2018 18:37","1/1/2018 18:35",NA,NA,"","","","1/1/2018 18:40","GROVE CITY",2
"ANI/ALI","AA","1/1/2018 19:01",2018,1,"1/1/2018 19:01","1/1/2018 19:06","1/1/2018 19:02",39.95891198,-83.02924227,"E10","","","1/1/2018 19:13","COLUMBUS",10
"ANI/ALI","AAB","1/1/2018 19:08",2018,1,"1/1/2018 19:09","1/1/2018 19:12","1/1/2018 19:10",39.95423806,-82.99501264,"E2","","","1/1/2018 19:15","COLUMBUS",2
"PHONE","AA","1/1/2018 19:13",2018,1,"1/1/2018 19:13","1/1/2018 19:17","1/1/2018 19:14",39.94435061,-82.87656459,"E23","","","1/1/2018 19:49","COLUMBUS",23
"ANI/ALI","AAB","1/1/2018 19:36",2018,1,"1/1/2018 19:36","1/1/2018 19:42","1/1/2018 19:36",39.99888211,-82.9766238,"E18","","","1/1/2018 19:45","COLUMBUS",1
"ANI/ALI","AA","1/1/2018 19:39",2018,1,"1/1/2018 19:39","1/1/2018 19:42","1/1/2018 19:40",39.99166338,-83.00334175,"E7","","","1/1/2018 20:05","COLUMBUS",7
"ANI/ALI","AA","1/1/2018 20:43",2018,1,"1/1/2018 20:43","1/1/2018 20:45","1/1/2018 20:43",39.8943145,-82.98666694,"E22","","","1/1/2018 20:57","COLUMBUS",22
"PHONE","AAB","1/1/2018 22:12",2018,1,"1/1/2018 22:12","1/1/2018 22:22","1/1/2018 22:13",40.09710889,-83.01718594,"E101","","","1/1/2018 22:26","COLUMBUS",6
"PHONE","AA","1/1/2018 22:41",2018,1,"1/1/2018 22:41","1/1/2018 22:44","1/1/2018 22:42",NA,NA,"","","","1/1/2018 22:45","COLUMBUS",16
"ANI/ALI","AA","1/2/2018 06:11",2018,1,"1/2/2018 06:12","1/2/2018 06:17","1/2/2018 06:14",39.95423806,-82.99501264,"E2","","","1/2/2018 6:37","COLUMBUS",3
"PHONE","AA","1/2/2018 06:48",2018,1,"1/2/2018 06:48","1/2/2018 06:55","1/2/2018 06:50",39.87511644,-82.95323271,"E171","1/2/2018 7:03","1/2/2018 7:24","1/2/2018 7:54","OBETZ",171
"ANI/ALI","AA","1/2/2018 07:33",2018,1,"1/2/2018 07:33","1/2/2018 07:40","1/2/2018 07:34",40.02633302,-83.11286308,"E30","1/2/2018 7:50","1/2/2018 8:04","1/2/2018 8:28","COLUMBUS",71
"PHONE","AA","1/2/2018 08:00",2018,1,"1/2/2018 08:00","1/2/2018 08:08","1/2/2018 08:01",39.98386342,-83.02486814,"E25","1/2/2018 8:17","1/2/2018 8:20","1/2/2018 8:38","OHIO STATE UNIVERSITY",7
"ANI/ALI","AAB","1/2/2018 08:21",2018,1,"1/2/2018 08:22","1/2/2018 08:27","1/2/2018 08:22",NA,NA,"","","","1/2/2018 8:32","COLUMBUS",23
"ANI/ALI","AAB","1/2/2018 09:28",2018,1,"1/2/2018 09:28","1/2/2018 09:32","1/2/2018 09:29",39.95891198,-83.02924227,"E10","","","1/2/2018 9:46","COLUMBUS",10
"ANI/ALI","AA","1/2/2018 10:02",2018,1,"1/2/2018 10:03","1/2/2018 10:07","1/2/2018 10:04",39.9446662,-82.87488288,"E23","","","1/2/2018 10:33","COLUMBUS",23
"ANI/ALI","AAB","1/2/2018 10:21",2018,1,"1/2/2018 10:21","1/2/2018 10:24","1/2/2018 10:22",39.99892171,-82.97633495,"E18","1/2/2018 10:39","1/2/2018 10:52","1/2/2018 11:11","COLUMBUS",18
"PHONE","AA","1/2/2018 10:57",2018,1,"1/2/2018 10:57","1/2/2018 11:02","1/2/2018 10:58",NA,NA,"","","","1/2/2018 11:07","COLUMBUS",12
"PHONE","AA","1/2/2018 11:22",2018,1,"1/2/2018 11:22","1/2/2018 11:29","1/2/2018 11:23",39.81499585,-82.93994019,"E221","","","1/2/2018 11:42","GROVEPORT",181
"ANI/ALI","AA","1/2/2018 11:53",2018,1,"1/2/2018 11:54","1/2/2018 11:58","1/2/2018 11:54",39.87900715,-82.88302016,"E181","1/2/2018 12:08","1/2/2018 12:18","1/2/2018 12:32","COLUMBUS",4
"ANI/ALI","AA","1/2/2018 12:04",2018,1,"1/2/2018 12:04","1/2/2018 12:09","1/2/2018 12:05",40.04681099,-82.95543627,"E61","1/2/2018 12:23","1/2/2018 12:47","1/2/2018 13:37","COLUMBUS",61
"PHONE","AA","1/2/2018 12:16",2018,1,"1/2/2018 12:17","1/2/2018 12:20","1/2/2018 12:17",39.91467047,-83.06616753,"E193","1/2/2018 12:29","1/2/2018 12:37","1/2/2018 13:24","FRANKLIN TOWNSHIP",193
"OFFICER","AA","1/2/2018 13:05",2018,1,"1/2/2018 13:05","1/2/2018 13:08","1/2/2018 13:06",39.94234732,-83.1095689,"E192","1/2/2018 13:23","1/2/2018 13:33","1/2/2018 14:01","COLUMBUS",192
"ANI/ALI","AA","1/2/2018 13:10",2018,1,"1/2/2018 13:10","1/2/2018 13:13","1/2/2018 13:11",39.93272475,-82.98361236,"E14","","","1/2/2018 13:18","COLUMBUS",2
"ANI/ALI","AA","1/2/2018 13:14",2018,1,"1/2/2018 13:14","1/2/2018 13:16","1/2/2018 13:15",39.99907576,-82.97693209,"E18","1/2/2018 13:26","1/2/2018 13:34","1/2/2018 13:58","COLUMBUS",18
"ANI/ALI","AA","1/2/2018 13:42",2018,1,"1/2/2018 13:43","1/2/2018 13:46","1/2/2018 13:44",39.96926286,-82.99687507,"E9","","","1/2/2018 13:49","COLUMBUS",9
"ANI/ALI","AA","1/2/2018 14:06",2018,1,"1/2/2018 14:06","1/2/2018 14:10","1/2/2018 14:06",39.93953418,-82.9544516,"E15","","","1/2/2018 14:23","COLUMBUS",15
"ANI/ALI","AA","1/2/2018 14:23",2018,1,"1/2/2018 14:23","1/2/2018 14:30","1/2/2018 14:24",39.87586853,-82.9637878,"E171","1/2/2018 14:39","1/2/2018 15:04","1/2/2018 15:15","OBETZ",171
"ANI/ALI","AA","1/2/2018 14:34",2018,1,"1/2/2018 14:34","1/2/2018 14:37","1/2/2018 14:34",40.0134918,-82.96358606,"E16","","","1/2/2018 14:41","COLUMBUS",16
"PHONE","AAC","1/2/2018 14:50",2018,1,"1/2/2018 14:50","1/2/2018 14:56","1/2/2018 14:51",39.84660547,-82.8285605,"E182","1/2/2018 15:12","1/2/2018 15:43","1/2/2018 16:24","MADISON TOWNSHIP",182
"PHONE","AA","1/2/2018 15:10",2018,1,"1/2/2018 15:10","1/2/2018 15:14","1/2/2018 15:11",39.92067571,-83.06073646,"E193","1/2/2018 15:22","1/2/2018 15:35","1/2/2018 15:46","COLUMBUS",193
"ANI/ALI","AA","1/2/2018 16:43",2018,1,"1/2/2018 16:43","1/2/2018 16:47","1/2/2018 16:44",39.9443558,-82.87665734,"E23","1/2/2018 17:08","1/2/2018 17:17","1/2/2018 17:29","COLUMBUS",23
"ANI/ALI","AA","1/2/2018 17:14",2018,1,"1/2/2018 17:15","1/2/2018 17:19","1/2/2018 17:16",40.11141343,-83.0654717,"E27","1/2/2018 17:34","1/2/2018 17:51","1/2/2018 18:08","COLUMBUS",27
"PHONE","AAB","1/2/2018 18:08",2018,1,"1/2/2018 18:08","1/2/2018 18:14","1/2/2018 18:09",39.94438629,-82.87656478,"E23","1/2/2018 18:26","1/2/2018 18:39","1/2/2018 19:08","COLUMBUS",32
"PHONE","AA","1/2/2018 18:15",2018,1,"1/2/2018 18:15","1/2/2018 18:20","1/2/2018 18:16",40.13638211,-82.9961562,"E33","","","1/2/2018 18:29","COLUMBUS",33
"PHONE","AA","1/2/2018 18:41",2018,1,"1/2/2018 18:42","1/2/2018 18:47","1/2/2018 18:43",39.97586455,-82.83705388,"E5","","","1/2/2018 18:54","COLUMBUS",5
"PHONE","AA","1/2/2018 19:20",2018,1,"1/2/2018 19:21","1/2/2018 19:26","1/2/2018 19:22",39.87900715,-82.88302016,"E181","1/2/2018 19:37","1/2/2018 19:54","1/2/2018 20:43","MADISON TOWNSHIP",181
"ANI/ALI","AA","1/2/2018 19:27",2018,1,"1/2/2018 19:27","1/2/2018 19:30","1/2/2018 19:28",40.11141343,-83.0654717,"E27","1/2/2018 19:45","1/2/2018 20:00","1/2/2018 20:14","COLUMBUS",27
"PHONE","AAB","1/2/2018 20:03",2018,1,"1/2/2018 20:03","1/2/2018 20:06","1/2/2018 20:04",39.91220136,-82.90779726,"E4","","","1/2/2018 20:15","COLUMBUS",4
"ANI/ALI","AA","1/2/2018 20:14",2018,1,"1/2/2018 20:15","1/2/2018 20:22","1/2/2018 20:16",40.08784116,-82.95980502,"E6","1/2/2018 20:38","1/2/2018 20:50","1/2/2018 21:02","COLUMBUS",6
"ANI/ALI","PS","1/2/2018 20:47",2018,1,"1/2/2018 20:48","1/2/2018 20:50","1/2/2018 20:49",39.99180877,-83.00336778,"E7","1/2/2018 21:02","1/2/2018 21:08","1/2/2018 21:28","COLUMBUS",7
"ANI/ALI","AA","1/2/2018 20:57",2018,1,"1/2/2018 20:58","1/2/2018 20:59","1/2/2018 20:58",NA,NA,"","","","1/2/2018 21:00","COLUMBUS",21
"OFFICER","AA","1/3/2018 04:20",2018,1,"1/3/2018 04:20","1/3/2018 04:20","",NA,NA,"","","","1/3/2018 4:31","COLUMBUS",5
"PHONE","AA","1/3/2018 05:23",2018,1,"1/3/2018 05:23","1/3/2018 05:29","1/3/2018 05:24",39.91220968,-82.90777236,"E4","","","1/3/2018 5:34","COLUMBUS",23
"PHONE","AA","1/3/2018 06:37",2018,1,"1/3/2018 06:37","1/3/2018 06:43","1/3/2018 06:38",39.93260327,-82.98377912,"E14","","","1/3/2018 7:47","COLUMBUS",15
"ANI/ALI","AAB","1/3/2018 06:53",2018,1,"1/3/2018 06:54","1/3/2018 07:05","1/3/2018 06:54",40.03364087,-82.90893211,"E28","","","1/3/2018 7:08","COLUMBUS",20
"PHONE","AA","1/3/2018 07:49",2018,1,"1/3/2018 07:49","1/3/2018 07:53","1/3/2018 07:49",NA,NA,"","","","1/3/2018 7:56","COLUMBUS",21
"ANI/ALI","AAC","1/3/2018 07:49",2018,1,"1/3/2018 07:50","1/3/2018 07:55","1/3/2018 07:50",39.98544027,-82.93309726,"E20","","","1/3/2018 8:02","COLUMBUS",20
"PHONE","AAB","1/3/2018 07:52",2018,1,"1/3/2018 07:52","1/3/2018 08:00","1/3/2018 07:53",40.01726457,-83.00336312,"E13","","","1/3/2018 8:08","COLUMBUS",13
"PHONE","AAB","1/3/2018 08:21",2018,1,"1/3/2018 08:21","1/3/2018 08:26","1/3/2018 08:22",40.0469342,-82.95410122,"E61","","","1/3/2018 8:29","COLUMBUS",61
"ANI/ALI","AAB","1/3/2018 08:36",2018,1,"1/3/2018 08:36","1/3/2018 08:42","1/3/2018 08:37",40.0360509,-83.01694525,"E19","","","1/3/2018 8:47","COLUMBUS",19
"ANI/ALI","AA","1/3/2018 09:01",2018,1,"1/3/2018 09:02","1/3/2018 09:04","1/3/2018 09:03",NA,NA,"","","","1/3/2018 9:06","COLUMBUS",21
"ANI/ALI","AA","1/3/2018 09:19",2018,1,"1/3/2018 09:19","1/3/2018 09:21","1/3/2018 09:19",39.93026368,-82.88037503,"E23","","","1/3/2018 9:31","COLUMBUS",23
"ANI/ALI","AA","1/3/2018 09:37",2018,1,"1/3/2018 09:37","1/3/2018 09:48","1/3/2018 09:41",39.94187643,-82.82642876,"E162","1/3/2018 10:01","1/3/2018 10:16","1/3/2018 10:43","COLUMBUS",5
"PHONE","AA","1/3/2018 10:02",2018,1,"1/3/2018 10:02","1/3/2018 10:07","1/3/2018 10:03",39.93888046,-82.98338416,"E14","1/3/2018 10:19","1/3/2018 10:24","1/3/2018 10:41","COLUMBUS",3
"ANI/ALI","AA","1/3/2018 10:57",2018,1,"1/3/2018 10:58","1/3/2018 11:00","1/3/2018 10:59",39.98386342,-83.02486814,"E25","","","1/3/2018 11:25","COLUMBUS",25
"ANI/ALI","AA","1/3/2018 10:58",2018,1,"1/3/2018 10:58","1/3/2018 11:03","1/3/2018 10:58",39.97832847,-83.04489457,"E51","","","1/3/2018 11:04","COLUMBUS",25
"ANI/ALI","AA","1/3/2018 12:03",2018,1,"1/3/2018 12:03","1/3/2018 12:06","1/3/2018 12:04",39.9443558,-82.87665734,"E23","","","1/3/2018 12:10","COLUMBUS",23
"PHONE","PS","1/3/2018 12:07",2018,1,"1/3/2018 12:08","1/3/2018 12:11","1/3/2018 12:08",39.99180877,-83.00336778,"E7","","","1/3/2018 12:39","COLUMBUS",7
"PHONE","AA","1/3/2018 13:48",2018,1,"1/3/2018 13:48","1/3/2018 13:55","1/3/2018 13:49",NA,NA,"","1/3/2018 13:59","1/3/2018 14:13","1/3/2018 14:25","COLUMBUS",22
"PHONE","PS","1/3/2018 13:54",2018,1,"1/3/2018 13:55","1/3/2018 13:59","1/3/2018 13:55",NA,NA,"","1/3/2018 14:19","","1/3/2018 14:57","COLUMBUS",33
"PHONE","AA","1/3/2018 14:23",2018,1,"1/3/2018 14:23","1/3/2018 14:27","1/3/2018 14:24",39.96905429,-82.96814894,"E8","","","1/3/2018 14:36","COLUMBUS",8
"PHONE","AAB","1/3/2018 14:38",2018,1,"1/3/2018 14:38","1/3/2018 14:42","1/3/2018 14:39",40.07331434,-83.07625955,"E11","1/3/2018 15:05","1/3/2018 15:15","1/3/2018 15:29","COLUMBUS",11
"PHONE","AA","1/3/2018 15:12",2018,1,"1/3/2018 15:12","1/3/2018 15:13","1/3/2018 15:12",40.08457194,-82.95695291,"E6","1/3/2018 15:26","1/3/2018 15:35","1/3/2018 15:47","COLUMBUS",119
"PHONE","AA","1/3/2018 15:35",2018,1,"1/3/2018 15:35","1/3/2018 15:38","1/3/2018 15:35",NA,NA,"","","","1/3/2018 15:46","BEXLEY",20
"ANI/ALI","AA","1/3/2018 16:43",2018,1,"1/3/2018 16:44","1/3/2018 16:47","1/3/2018 16:44",40.07331434,-83.07625955,"E11","","","1/3/2018 16:53","COLUMBUS",11
"ANI/ALI","AAB","1/3/2018 17:01",2018,1,"1/3/2018 17:01","1/3/2018 17:07","1/3/2018 17:02",39.96906458,-82.99637415,"E1","","","1/3/2018 17:11","COLUMBUS",1
"ANI/ALI","AAB","1/3/2018 17:29",2018,1,"1/3/2018 17:29","1/3/2018 17:32","1/3/2018 17:30",39.99892171,-82.97633495,"E18","","","1/3/2018 17:32","COLUMBUS",18
"ANI/ALI","AA","1/3/2018 17:47",2018,1,"1/3/2018 17:47","1/3/2018 17:55","1/3/2018 17:48",40.03581084,-83.01722559,"E19","","","1/3/2018 18:01","COLUMBUS",19
"ANI/ALI","AAB","1/3/2018 17:57",2018,1,"1/3/2018 17:57","1/3/2018 18:03","1/3/2018 17:58",39.97572466,-82.83701752,"E5","","","1/3/2018 18:25","COLUMBUS",5
"PHONE","PS","1/3/2018 18:19",2018,1,"1/3/2018 18:19","1/3/2018 18:23","1/3/2018 18:20",40.08764848,-82.95993955,"E6","1/3/2018 18:33","1/3/2018 18:45","1/3/2018 19:06","COLUMBUS",24
"ANI/ALI","VHS","1/3/2018 20:24",2018,1,"1/3/2018 20:25","1/3/2018 20:27","1/3/2018 20:26",39.94336242,-83.08433737,"E12","","","1/3/2018 20:53","COLUMBUS",12
"ANI/ALI","AA","1/3/2018 20:35",2018,1,"1/3/2018 20:35","1/3/2018 20:40","1/3/2018 20:36",39.91215474,-82.90778273,"E4","1/3/2018 20:51","1/3/2018 21:02","1/3/2018 21:20","COLUMBUS",4
"PHONE","AA","1/3/2018 20:38",2018,1,"1/3/2018 20:38","1/3/2018 20:43","1/3/2018 20:40",39.98386342,-83.02486814,"E25","1/3/2018 20:59","1/3/2018 21:05","1/3/2018 21:22","COLUMBUS",10
"PHONE","AA","1/3/2018 20:56",2018,1,"1/3/2018 20:56","1/3/2018 20:57","1/3/2018 20:57",39.94603032,-82.94488197,"E4","1/3/2018 21:12","","1/3/2018 21:53","COLUMBUS",15
"PHONE","AA","1/3/2018 21:39",2018,1,"1/3/2018 21:39","1/3/2018 21:43","1/3/2018 21:40",39.90112839,-82.98662551,"E22","","","1/3/2018 21:48","COLUMBUS",22
"ANI/ALI","AA","1/3/2018 21:42",2018,1,"1/3/2018 21:42","1/3/2018 21:44","1/3/2018 21:43",39.94885515,-82.94991496,"E15","","","1/3/2018 21:51","COLUMBUS",15
"PHONE","AA","1/3/2018 23:27",2018,1,"1/3/2018 23:27","1/3/2018 23:33","1/3/2018 23:29",39.97284676,-83.14748674,"E26","","","1/3/2018 23:36","COLUMBUS",12
"ANI/ALI","AA","1/4/2018 00:14",2018,1,"1/4/2018 00:14","1/4/2018 00:19","1/4/2018 00:15",39.94224593,-83.10953235,"E192","","","1/4/2018 0:22","COLUMBUS",192
"ANI/ALI","AA","1/4/2018 05:36",2018,1,"1/4/2018 05:37","1/4/2018 05:41","1/4/2018 05:39",39.96926286,-82.99687507,"E9","1/4/2018 6:02","1/4/2018 6:02","1/4/2018 6:34","COLUMBUS",9
"PHONE","AAB","1/4/2018 06:01",2018,1,"1/4/2018 06:01","1/4/2018 06:09","1/4/2018 06:03",NA,NA,"","","","1/4/2018 6:20","HAMILTON TOWNSHIP",171
"ANI/ALI","AA","1/4/2018 07:34",2018,1,"1/4/2018 07:34","1/4/2018 07:40","1/4/2018 07:35",NA,NA,"","","","1/4/2018 7:47","COLUMBUS",10
"PHONE","AA","1/4/2018 07:53",2018,1,"1/4/2018 07:54","1/4/2018 08:01","1/4/2018 07:55",40.03575788,-83.01740733,"E19","1/4/2018 8:10","1/4/2018 8:15","1/4/2018 8:31","COLUMBUS",19
"PHONE","AA","1/4/2018 08:13",2018,1,"1/4/2018 08:14","1/4/2018 08:21","1/4/2018 08:15",39.94236364,-83.10959758,"E192","1/4/2018 8:33","1/4/2018 8:51","1/4/2018 9:10","COLUMBUS",26
"PHONE","AA","1/4/2018 08:26",2018,1,"1/4/2018 08:26","1/4/2018 08:34","1/4/2018 08:27",40.03372551,-82.90906117,"E28","","","1/4/2018 8:37","COLUMBUS",28
"PHONE","AA","1/4/2018 09:04",2018,1,"1/4/2018 09:04","1/4/2018 09:05","1/4/2018 09:04",NA,NA,"","","","1/4/2018 9:12","COLUMBUS",10
"PHONE","AAB","1/4/2018 11:06",2018,1,"1/4/2018 11:06","1/4/2018 11:11","1/4/2018 11:06",39.87596098,-82.96401289,"E171","1/4/2018 11:21","1/4/2018 11:42","1/4/2018 12:05","OBETZ",171
"ANI/ALI","AAB","1/4/2018 11:21",2018,1,"1/4/2018 11:21","1/4/2018 11:28","1/4/2018 11:22",39.99892171,-82.97633495,"E18","1/4/2018 11:31","1/4/2018 11:41","1/4/2018 12:15","COLUMBUS",18
"ANI/ALI","AAB","1/4/2018 11:32",2018,1,"1/4/2018 11:33","1/4/2018 11:36","1/4/2018 11:33",40.09928099,-83.11875169,"E34","","","1/4/2018 12:17","COLUMBUS",27
"PHONE","AA","1/4/2018 11:49",2018,1,"1/4/2018 11:50","1/4/2018 11:55","1/4/2018 11:51",39.98544027,-82.93309726,"E20","","","1/4/2018 11:58","COLUMBUS",20
"PHONE","AA","1/4/2018 12:35",2018,1,"1/4/2018 12:35","1/4/2018 12:37","1/4/2018 12:36",40.08764848,-82.95993955,"E6","","","1/4/2018 12:58","COLUMBUS",6
"PHONE","AA","1/4/2018 13:08",2018,1,"1/4/2018 13:09","1/4/2018 13:09","1/4/2018 13:09",NA,NA,"","","","1/4/2018 13:16","COLUMBUS",19
"PHONE","AA","1/4/2018 13:31",2018,1,"1/4/2018 13:31","1/4/2018 13:36","1/4/2018 13:32",39.84660547,-82.8285605,"E182","","","1/4/2018 13:39","FAIRFIELD COUNTY",182
"PHONE","AA","1/4/2018 13:42",2018,1,"1/4/2018 13:43","1/4/2018 13:48","1/4/2018 13:43",NA,NA,"","","","1/4/2018 13:59","FAIRFIELD COUNTY",182
"PHONE","AAB","1/4/2018 13:46",2018,1,"1/4/2018 13:46","1/4/2018 13:50","1/4/2018 13:47",39.98544265,-82.9331972,"E20","","","1/4/2018 14:02","COLUMBUS",20
"ANI/ALI","AAB","1/4/2018 14:02",2018,1,"1/4/2018 14:03","1/4/2018 14:08","1/4/2018 14:04",40.03560736,-83.01730264,"E19","","","1/4/2018 14:12","COLUMBUS",19
"PHONE","AA","1/4/2018 14:43",2018,1,"1/4/2018 14:43","1/4/2018 14:48","1/4/2018 14:44",40.08764848,-82.95993955,"E6","","","1/4/2018 14:57","COLUMBUS",6
"ANI/ALI","AA","1/4/2018 16:14",2018,1,"1/4/2018 16:14","1/4/2018 16:18","1/4/2018 16:15",39.9398383,-83.0023887,"E3","1/4/2018 16:33","1/4/2018 16:36","1/4/2018 17:18","COLUMBUS",2
"PHONE","AAB","1/4/2018 16:24",2018,1,"1/4/2018 16:25","1/4/2018 16:26","1/4/2018 16:25",39.9558054,-83.06093788,"E17","","","1/4/2018 16:36","COLUMBUS",17
"PHONE","AAB","1/4/2018 16:46",2018,1,"1/4/2018 16:46","1/4/2018 16:49","1/4/2018 16:47",39.96906458,-82.99637415,"E1","","","1/4/2018 17:07","COLUMBUS",9
"ANI/ALI","AA","1/4/2018 17:03",2018,1,"1/4/2018 17:03","1/4/2018 17:08","1/4/2018 17:04",39.90675596,-82.82483806,"E32","","","1/4/2018 17:12","COLUMBUS",32
"ANI/ALI","AAB","1/4/2018 18:44",2018,1,"1/4/2018 18:44","1/4/2018 18:47","1/4/2018 18:45",40.02374594,-82.98173628,"E16","1/4/2018 19:01","1/4/2018 19:12","1/4/2018 19:23","COLUMBUS",16
